frame_count,fps,width,height,duration_sec,filename,label
248,24.75,704,576,10.02020202020202,shop_lifter_75.mp4,shop lifters
350,25.0,704,576,14.0,videyyyyyyzzzzzyyyss_0.mp4,shop lifters
273,24.75,704,576,11.030303030303031,shop_lifter_83.mp4,shop lifters
200,25.0,704,576,8.0,videyyyyyynnnnnnzzzzzyyyss_23.mp4,shop lifters
325,25.0,704,576,13.0,videppppsss_37.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyyyyyss_50.mp4,shop lifters
325,25.0,704,576,13.0,videyyyyyynnnnnnzzzzzyyyss_5.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyyyyss_8.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyynnnnnnzzzzzyyyss_18.mp4,shop lifters
425,25.0,704,576,17.0,videppppsss_39.mp4,shop lifters
223,24.75,704,576,9.01010101010101,shop_lifter_56.mp4,shop lifters
175,25.0,704,576,7.0,videyyyyyyyyyss_35.mp4,shop lifters
325,25.0,704,576,13.0,videyyyyyyyyyss_12.mp4,shop lifters
350,25.0,704,576,14.0,videppppsss_0.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyyyyss_31.mp4,shop lifters
322,24.75,704,576,13.01010101010101,shop_lifter_48.mp4,shop lifters
400,25.0,704,576,16.0,videppppsss_34.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyyyyss_39.mp4,shop lifters
570,24.75,704,576,23.03030303030303,shop_lifter_39.mp4,shop lifters
225,25.0,704,576,9.0,videppppsss_47.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyyyyss_18.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyyyyyss_51.mp4,shop lifters
275,25.0,704,576,11.0,videyyyyyyyyyss_53.mp4,shop lifters
350,25.0,704,576,14.0,videyyyyyyzzzzzyyyss_8.mp4,shop lifters
475,25.0,704,576,19.0,shop_lifter_99.mp4,shop lifters
350,25.0,704,576,14.0,shop_lifter_126.mp4,shop lifters
350,25.0,704,576,14.0,videyyyyyyyyyss_46.mp4,shop lifters
248,24.75,704,576,10.02020202020202,videmmmmmmsss_91.mp4,shop lifters
375,25.0,704,576,15.0,videppppsss_35.mp4,shop lifters
198,24.75,704,576,8.0,shop_lifter_59.mp4,shop lifters
300,25.0,704,576,12.0,videppppsss_46.mp4,shop lifters
200,25.0,704,576,8.0,videyyyyyyyyyss_34.mp4,shop lifters
325,25.0,704,576,13.0,videppppsss_3.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyyyyyss_5.mp4,shop lifters
300,25.0,704,576,12.0,videyyyyyyyyyss_4.mp4,shop lifters
372,24.75,704,576,15.030303030303031,shop_lifter_47.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyzzzzzyyyss_3.mp4,shop lifters
350,25.0,704,576,14.0,shop_lifter_87.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyynnnnnnzzzzzyyyss_13.mp4,shop lifters
396,24.75,704,576,16.0,shop_lifter_23.mp4,shop lifters
322,24.75,704,576,13.01010101010101,shop_lifter_8.mp4,shop lifters
250,25.0,704,576,10.0,videppppsss_12.mp4,shop lifters
396,24.75,704,576,16.0,shop_lifter_44.mp4,shop lifters
250,25.0,704,576,10.0,videppppsss_10.mp4,shop lifters
225,25.0,704,576,9.0,videppppsss_40.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyynnnnnnzzzzzyyyss_29.mp4,shop lifters
325,25.0,704,576,13.0,videyyyyyyzzzzzyyyss_6.mp4,shop lifters
300,25.0,704,576,12.0,videyyyyyyyyyss_62.mp4,shop lifters
225,25.0,704,576,9.0,videyyyyyyyyyss_20.mp4,shop lifters
421,24.75,704,576,17.01010101010101,shop_lifter_42.mp4,shop lifters
425,25.0,704,576,17.0,shop_lifter_90.mp4,shop lifters
375,25.0,704,576,15.0,videyyyyyyzzzzzyyyss_12.mp4,shop lifters
400,25.0,704,576,16.0,shop_lifter_95.mp4,shop lifters
250,25.0,704,576,10.0,videyyyyyyyyyss_58.mp4,shop lifters
